qid,category,status_code,latency_ms,route,expected_route,route_ok,intent_family,expected_intent,intent_ok,sql_operation,expected_sql_operation,op_ok,row_count,sql_data_ok,rag_source_ok,ml_source_seen,recommendation_refs_count,recommendation_ok,warnings_count,failure_category,confidence,has_kpi_cards,has_table,has_chart,has_comparison_table,has_recommendations,has_limits_block,has_summary,question,answer_preview
A01,SQL factual,200,9321.37,SQL_ONLY,SQL_ONLY,True,STOCK_CURRENT,STOCK_CURRENT,True,,get_current_stock,False,,True,True,False,0,True,1,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Quel est le stock actuel par produit et qualité ?,"1. Données mesurées | La coopérative dispose actuellement de 223.0 kg de stock disponible répartis sur 4 produits. Le produit le plus disponible est Bissap avec 78.0 kg. Détail qualité: Grade A 78.0 kg,"
A02,SQL factual,200,8653.18,SQL_ONLY,SQL_ONLY,True,STOCK_CURRENT,STOCK_CURRENT,True,,get_current_stock,False,,True,True,False,0,True,1,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Quel produit a le plus de stock disponible actuellement ?,1. Données mesurées | Le produit avec le plus de stock disponible est Bissap avec 78.0 kg. Le classement complet des 4 produits est présenté ci-dessous. |  | 2. Interprétation | Aucune explication détaillée d
A03,SQL factual,200,8816.71,SQL_ONLY,SQL_ONLY,True,STOCK_CURRENT,STOCK_CURRENT,True,,get_current_stock,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Est-ce que la mangue a encore du stock disponible ?,"1. Données mesurées | La coopérative dispose actuellement de 43.0 kg de stock disponible répartis sur 1 produits. Le produit le plus disponible est Mangue avec 43.0 kg. Détail qualité: Grade A 43.0 kg, "
A04,SQL factual,200,9427.62,SQL_ONLY,SQL_ONLY,True,POSTHARVEST_AVAILABLE_LOTS,POSTHARVEST_AVAILABLE_LOTS,True,,get_available_postharvest_lots,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Quels lots post-récolte sont disponibles actuellement ?,1. Données mesurées | Lots post-récolte disponibles: 2. Exemple LOT-MILX-001 (Mil) 30.0 kg -> 5.0 kg. |  | 2. Interprétation | Aucune explication détaillée disponible. |  | 3. Limites | - Avertissement de fiabilité
A05,SQL factual,200,9595.98,SQL_ONLY,SQL_ONLY,True,POSTHARVEST_AVAILABLE_LOTS,POSTHARVEST_AVAILABLE_LOTS,True,,get_available_postharvest_lots,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Quels lots sont prêts à traiter avec faible quantité restante ?,1. Données mesurées | Lots post-récolte disponibles: 2. Exemple LOT-MILX-001 (Mil) 30.0 kg -> 5.0 kg. |  | 2. Interprétation | Aucune explication détaillée disponible. |  | 3. Limites | - Avertissement de fiabilité
A06,SQL factual,200,9615.06,SQL_ONLY,SQL_ONLY,True,STOCK_CURRENT,STOCK_CURRENT,True,,get_current_stock,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Donne le stock de mil par grade.,"1. Données mesurées | La coopérative dispose actuellement de 43.0 kg de stock disponible répartis sur 1 produits. Le produit le plus disponible est Mil avec 43.0 kg. Détail qualité: Grade A 0.0 kg, Grad"
A07,SQL factual,200,9313.19,SQL_ONLY,SQL_ONLY,True,factual_sql,,True,,,True,,True,True,False,0,True,1,NO_FAILURE,0.26,True,False,False,False,False,True,True,Combien de lots actifs avons-nous ?,1. Réponse directe | Cette requête opérationnelle n’est pas encore mappée à une opération SQL fiable. |  | 2. Interprétation opérationnelle | Aucune explication détaillée disponible. |  | 3. Preuves | - SQL: batche
A08,SQL factual,200,9719.51,SQL_ONLY,SQL_ONLY,True,STOCK_CURRENT,,True,,,True,,True,True,False,0,True,0,NO_FAILURE,0.94,True,True,True,False,False,True,True,Montre les mouvements de stock les plus récents.,"1. Données mesurées | La coopérative dispose actuellement de 223.0 kg de stock disponible répartis sur 4 produits. Le produit le plus disponible est Bissap avec 78.0 kg. Détail qualité: Grade A 78.0 kg,"
A09,SQL factual,200,8494.43,SQL_ONLY,SQL_ONLY,True,factual_sql,,True,,,True,,True,True,False,0,True,1,NO_FAILURE,0.26,True,False,False,False,False,True,True,Quel lot a la plus grande quantité restante ?,1. Réponse directe | Cette requête opérationnelle n’est pas encore mappée à une opération SQL fiable. |  | 2. Interprétation opérationnelle | Aucune explication détaillée disponible. |  | 3. Preuves | - SQL: batche
A10,SQL factual,200,10208.02,SQL_ONLY,SQL_ONLY,True,STOCK_CURRENT,STOCK_CURRENT,True,,get_current_stock,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,"Stock total disponible en kg, tous produits confondus.","1. Données mesurées | La coopérative dispose actuellement de 223.0 kg de stock disponible répartis sur 4 produits. Le produit le plus disponible est Bissap avec 78.0 kg. Détail qualité: Grade A 78.0 kg,"
